closed_ts,account_id_hashed
2020-05-12 15:32:19.362000 UTC,/RbZpKvA4LTFLdCg5Ifr/OnAqZNXOngpPkBsfwqugu+o42acgKIY3TwT2JvuJrU914uyHMT+CnM3k99eH8BR2A==
2019-08-15 16:32:56.969000 UTC,/WIGMQ+LbA8u+liX4vxQqAYzkTzG/iZS5LSwR/VaJCdYHkJ0bH8YQyVcnFgdou8RidpDTbFsDDroKgLHK84gjQ==
2019-06-12 19:06:06.918000 UTC,/WqgQ3DqlTPofKw9i8C2zS0SEtj+UqDiPc566cPMUVtZ77fOewRMAJsmsTRWFLLM3rf7Ugm6hhYnHOA+4H9LBw==
2020-06-18 12:18:07.263000 UTC,/XiT0hHd5JXdwuNSffkuxfonFxyZGenmykb/fZ2+eeOoVHgywaKVLLWMFPQsDiZLV/FoJwbU/UrXly0tp2rVTA==
2018-06-22 16:13:19.103342 UTC,/YKKKtA3WX6zJL/4mI0y3YO8pJLQEfVDHxe8NfVScB2Y3KAQ00GmiQubxXBK6ZBov9FAOB7CLooVJjcTK4N1zQ==
2018-12-04 07:41:14.505000 UTC,/YYtTJi2Ol2TWU9OUAeS2HUh6XlVmpSQZoJjkMhoVRhlv1bDpbSIf7qDGY6sRUcld3sPYATc1SsrqWA9fJxX8w==
2019-05-02 22:25:08.451000 UTC,/Yc/5mSPd8S2iY/HyQWD8N5kpohjdDeI96ZLnJ9hpEo85WoJAt1ElfwGHigFhU/ceIbKoQZD+AaVQWGQpSd8xQ==
2019-08-13 08:15:56.491000 UTC,/aleL013UJ/Q5T/+Yka5d9es2+Q3QXxDy2eYPTIftbRMdqZvaB5iIjWeuu8SYcUBa+AHsuI2GSquWuZ2eA/BQQ==
2019-12-28 23:27:12.203000 UTC,/ayMJ1scoDMfKSlImcPMrbkLqw4SCWYpp0DkqCkH5gAJ+90J2msjp+AtK88yff/JzGBuRIMcZhs1tK9qEniKMw==
2020-01-06 17:44:30.511000 UTC,/cuHg0KXaxk7+Fo7Ka1gjmvwxtcGkYBu2En4el9sYFCeQ1a6j9kCjI4ki+WwvQpkOkkteRRFUoIhfF/0+PnW7A==
2020-07-03 05:19:40.055000 UTC,/dTpiEeXD/6eEeHV/OTDFYra6JhbGqdt787cakG5tqkKOn1RwYh19UMHPgcYh+A49dngXXgsVCCNyOXUwrRNTQ==
2019-09-27 12:51:20.267000 UTC,/fivCAyl0riNnFfkaf2/joD/AXBsxiDjZzcMmNZSnFKxkU1ykXf5eoyh8Hh6PBwsqR7U1OZcbECFp0/JFZL0kQ==
2020-08-05 13:56:24.070000 UTC,/g7SbsiV1IOo3ixT0prQOE/hd35ah7usnnMNMFyj+gg13WtdO/tNDYMWJLBh/KlKcukd5e4kRHKvvWLZPFb1GQ==
2019-05-27 14:02:24.317000 UTC,/kTk0UrVIPZnu/WoLLTYkerIYMfyyXBIgs6gIJq9W+bhhUDxMB57Hs2gSVs3QIAM5UZiofj7nWB+1bdAWOLQzA==
2020-06-12 08:35:38.651000 UTC,/kw2CvcNGjTt0KMtgSPkaC61RzXGWzkCSFVNu7+Xw0AED043w0blBG5LRlOwAqoAfgeOsz8s4FwEUIZg5d1RaQ==
2019-11-07 11:34:25.249000 UTC,/l2HTsN0pFYXcCXF+ZBGRpTcDPG94OORdIUnshfeGLLq9JeYGHOp7tMadCoe0WAL/n0skRgzHgnOVIksomhWtw==
